id,firstName,lastName,age
980,Mitchell,Lapthorn,75
981,Ethelyn,Tisor,37
982,Claudell,Romaynes,55
983,Jesselyn,Speedin,73
984,Brigitte,McGaughay,79
985,Malvin,Pyott,65
986,Kial,Elwin,52
987,Regine,L'oiseau,47
988,Nalani,Hickisson,48
989,Galen,McNicol,39
990,Fredek,Myderscough,33
991,Verena,Stear,46
992,Kristina,Ninnoli,53
993,Brianne,Dewett,32
994,Herbie,Thynne,22
995,Eugenie,Allon,22
996,Duffie,Leverton,30
997,Mill,Blunsen,35
998,Packston,Alwood,70
999,Eliot,Lalonde,66
1000,Florette,Saggs,42
